Date,Substance,nombre d'infractions,Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction),
2012,Ecstasy,176,842,
2012,Cocaïn,4178,7721,
2012,Feuilles de coca,2,3,
2012,Métamphétamine,93,311,
2012,Khat,89,97,
2012,Cannabis,6,11,
2012,Chanvre (jeunes plantations),14,60,
2012,Chanvre (plante sèche),51,136,
2012,Chanvre (plante fraiche),75,169,
2012,Haschisch,1861,3713,
2012,Marijuana,26904,32001,
2012,Huile de Haschisch,1,17,
2012,Graines de cannabis,26,104,
2012,Héroïne,3324,5398,
2012,Méthadone,95,361,
2012,Autres produits de substitution,5,30,
2012,Morphine/Héroïne-base,4,9,
2012,Opium,3,39,
2012,LSD,17,212,
2012,Mescaline,1,8,
2012,Champignons hallucinogènes (Psilocybes),28,115,
2012,Autres hallucinogènes,7,36,
2012,Flunitrazepam (Rohypnol),3,9,
2012,GHB/GBL,59,107,
2012,Médicament en vente libre cont. subst. stupéf.,5,16,
2012,Médicament sur ordonnance cont. subst. stupéf.,461,886,
2012,Substances de coupage,4,37,
2012,Autre substance stupéfiante,47,139,
2012,Plusieurs 1),6897,-,
2012,Inconnue,20,30,
2012,Sans indication,34,34,
2013,Total,45905,55782,
2013,Amphétamines,413,1738,
2013,Crack,8,17,
2013,Ecstasy,178,995,
2013,Cocaïn,4107,7785,
2013,Feuilles de coca,22,25,
2013,Métamphétamine,59,255,
2013,Méphédrone,4,4,
2013,Khat,99,106,
2013,Cannabis,2,4,
2013,Chanvre (jeunes plantations),5,48,
2013,Chanvre (plante sèche),40,107,
2013,Chanvre (plante fraiche),51,163,
2013,Haschisch,1894,3765,
2013,Marijuana,27549,33220,
2013,Huile de Haschisch,2,19,
2013,Graines de cannabis,46,166,
2013,Héroïne,3250,5193,
2013,Méthadone,88,324,
2013,Autres produits de substitution,4,27,
2013,Morphine/Héroïne-base,7,21,
2013,Opium,5,40,
2013,LSD,33,317,
2013,Mescaline,1,11,
2013,Champignons hallucinogènes (Psilocybes),42,189,
2013,Autres hallucinogènes,5,35,
2013,Flunitrazepam (Rohypnol),1,6,
2013,GHB/GBL,38,72,
2013,Médicament en vente libre cont. subst. stupéf.,2,9,
2013,Médicament sur ordonnance cont. subst. stupéf.,339,758,
2013,Matières premières et produits ayant un effet présumé semblable à celui des stupéfiants (Swissmedic tableau e),2,6,
2013,Substances de coupage,4,37,
2013,Autre substance stupéfiante,56,166,
2013,Plusieurs 1),7414,-,
2013,Inconnue,18,37,
2013,Sans indication,117,117,
2014,Total,37602,47500,
2014,Amphétamines,411,1832,
2014,Crack,13,31,
2014,Ecstasy,212,1138,
2014,Cocaïn,4148,7788,
2014,Feuilles de coca,3,3,
2014,Métamphétamine,125,384,
2014,Khat,77,83,
2014,Méphédrone,0,1,
2014,MDPV (3 4-méthylènedioxypyrovalérone),0,6,
2014,Chanvre (jeunes plantation),11,99,
2014,Chanvre (plante sèche),20,94,
2014,Chanvre (plante fraiche),86,239,
2014,Haschisch,1113,2715,
2014,Marijuana,19633,25100,
2014,Huile de Haschisch,1,23,
2014,Graines de cannabis,56,230,
2014,Cannabinoïdes de synthèse,3,5,
2014,Héroïne,3714,5644,
2014,Méthadone,94,287,
2014,Autres produits de substitution,8,29,
2014,Morphine/Héroïne-base,7,19,
2014,Opium,7,28,
2014,LSD,27,325,
2014,Mescaline,0,4,
2014,Champignons hallucinogènes (Psilocybes),49,176,
2014,Autres hallucinogènes,8,47,
2014,GHB/GBL,27,67,
2014,Médicament en vente libre cont. subst. stupéf.,4,14,
2014,Médicament sur ordonnance cont. subst. stupéf.,387,793,
2014,Mat. prem/prod. avec effet prés. sembl. à stup.,1,5,
2014,Substances de coupage,1,35,
2014,Autre substance stupéfiante,52,143,
2014,Plusieurs 1),7220,-,
2014,Inconnue,31,60,
2014,Sans indication,53,53,
2015,Total,37799,47812,
2015,Amphétamines,509,1995,
2015,Crack,2,9,
2015,Ecstasy,207,1157,
2015,Cocaïn,3933,7426,
2015,Feuilles de coca,1,3,
2015,Métamphétamine,182,502,
2015,Khat,43,47,
2015,Méphédrone,1,2,
2015, ,2,8,
2015,Chanvre (jeunes plantation),25,114,
2015,Chanvre (plante sèche),39,117,
2015,Chanvre (plante fraiche),64,212,
2015,Haschisch,1236,3055,
2015,Marijuana,19760,25351,
2015,Huile de Haschisch,0,25,
2015,Graines de cannabis,291,600,
2015,Cannabinoïdes de synthèse,7,13,
2015,Héroïne,3429,5093,
2015,Méthadone,79,260,
2015,Autres produits de substitution,4,17,
2015,Morphine/Héroïne-base,9,33,
2015,Opium,4,14,
2015,LSD,50,304,
2015,Mescaline,2,12,
2015,Champignons hallucinogènes (Psilocybes),58,199,
2015,Autres hallucinogènes,11,36,
2015,GHB/GBL,29,62,
2015,Médicament en vente libre cont. subst. stupéf.,4,18,
2015,Médicament sur ordonnance cont. subst. stupéf.,378,839,
2015,Mat. prem/prod. avec effet prés. sembl. à stup.,2,7,
2015,Substances de coupage,1,30,
2015,Autre substance stupéfiante,34,108,
2015,Plusieurs 1),7292,_,
2015,Inconnu,48,81,
2015,Sans indication,63,63,
2016,Total,38519,49303,
2016,Amphétamines,516,2030,
2016,Crack,21,31,
2016,Ecstasy,260,1272,
2016,Cocaïn,5052,9060,
2016,Feuilles de coca,4,5,
2016,Métamphétamine,165,541,
2016,Khat,4,5,
2016,Méphédrone,1,3,
2016, ,4,10,
2016,Chanvre (jeunes plantation),8,92,
2016,Chanvre (plante sèche),13,87,
2016,Chanvre (plante fraiche),48,177,
2016,Haschisch,1594,3636,
2016,Marijuana,18464,24430,
2016,Huile de Haschisch,3,32,
2016,Graines de cannabis,44,164,
2016,Cannabinoïdes de synthèse,13,18,
2016,Héroïne,3630,5446,
2016,Méthadone,74,254,
2016,Autres produits de substitution,5,20,
2016,Morphine/Héroïne-base,20,40,
2016,Opium,3,23,
2016,LSD,31,314,
2016,Mescaline,0,13,
2016,Champignons hallucinogènes (Psilocybes),33,169,
2016,Autres hallucinogènes,9,25,
2016,GHB/GBL,41,96,
2016,Médicament en vente libre cont. subst. stupéf.,8,28,
2016,Médicament sur ordonnance cont. subst. stupéf.,385,875,
2016,Mat. prem/prod. avec effet prés. sembl. à stup.,0,5,
2016,Substances de coupage,3,31,
2016,Autre substance stupéfiante,90,189,
2016,Plusieurs 1),7826,_,
2016,Inconnu,44,79,
2016,Sans indication,103,103,
2017,Total,37488,48325,
2017,Amphétamines,445,1877,
2017,Crack,15,34,
2017,Ecstasy,229,1180,
2017,Cocaïn,5352,9637,
2017,Feuilles de coca,5,6,
2017,Métamphétamine,254,707,
2017,Khat,19,19,
2017,Méphédrone,2,2,
2017, ,4,13,
2017,Chanvre (jeunes plantation),8,81,
2017,Chanvre (plante sèche),17,73,
2017,Chanvre (plante fraiche),52,155,
2017,Haschisch,1806,3908,
2017,Marijuana,17656,23636,
2017,Huile de Haschisch,5,23,
2017,Graines de cannabis,117,254,
2017,Cannabinoïdes de synthèse,21,38,
2017,Héroïne,2794,4373,
2017,Méthadone,62,251,
2017,Autres produits de substitution,4,18,
2017,Morphine/Héroïne-base,12,45,
2017,Opium,2,17,
2017,LSD,36,315,
2017,Mescaline,1,11,
2017,Champignons hallucinogènes (Psilocybes),35,193,
2017,Autres hallucinogènes,9,42,
2017,GHB/GBL,42,85,
2017,Médicament en vente libre cont. subst. stupéf.,13,28,
2017,Médicament sur ordonnance cont. subst. stupéf.,392,934,
2017,Mat. prem/prod. avec effet prés. sembl. à stup.,1,5,
2017,Substances de coupage,4,39,
2017,Autre substance stupéfiante,78,165,
2017,Plusieurs 1),7878,_,
2017,Inconnu,54,97,
2017,Sans indication,64,64,
2018,Total,35728,46912,
2018,Amphétamines,427,1754,
2018,Crack,23,57,
2018,Ecstasy,244,1146,
2018,Cocaïn,5374,9913,
2018,Feuilles de coca,20,21,
2018,Métamphétamine,259,671,
2018,Khat,8,8,
2018,Méphédrone,6,7,
2018, ,4,17,
2018,Chanvre (jeunes plantation),10,67,
2018,Chanvre (plante sèche),21,78,
2018,Chanvre (plante fraiche),15,96,
2018,Haschisch,2472,4868,
2018,Marijuana,15462,21458,
2018,Huile de Haschisch,5,43,
2018,Graines de cannabis,185,332,
2018,Cannabinoïdes de synthèse,31,48,
2018,Héroïne,2294,3851,
2018,Méthadone,64,262,
2018,Autres produits de substitution,7,23,
2018,Morphine/Héroïne-base,20,73,
2018,Opium,14,41,
2018,LSD,39,276,
2018,Mescaline,0,7,
2018,Champignons hallucinogènes (Psilocybes),50,155,
2018,Autres hallucinogènes,17,53,
2018,GHB/GBL,36,91,
2018,Médicament en vente libre cont. subst. stupéf.,9,34,
2018,Médicament sur ordonnance cont. subst. stupéf.,376,1112,
2018,Mat. prem/prod. avec effet prés. sembl. à stup.,3,7,
2018,Substances de coupage,10,56,
2018,Autre substance stupéfiante,129,231,
2018,Plusieurs 1),8064,_,
2018,Inconnu,23,49,
2018,Sans indication,7,7,
2019,Total,34518,46062,
2019,Amphétamines,381,1640,
2019,Crack,30,72,
2019,Ecstasy,263,1195,
2019,Cocaïn,5627,10119,
2019,Feuilles de coca,15,17,
2019,Métamphétamine,242,708,
2019,Khat,32,35,
2019,Méphédrone,0,3,
2019, ,2,25,
2019,Chanvre (jeunes plantation),7,55,
2019,Chanvre (plante sèche),9,64,
2019,Chanvre (plante fraiche),18,91,
2019,Haschisch,3307,6097,
2019,Marijuana,13243,19402,
2019,Huile de Haschisch,7,38,
2019,Graines de cannabis,86,209,
2019,Cannabinoïdes de synthèse,24,35,
2019,Héroïne,2102,3634,
2019,Méthadone,46,256,
2019,Autres produits de substitution,3,14,
2019,Morphine/Héroïne-base,23,89,
2019,Opium,6,44,
2019,LSD,62,281,
2019,Mescaline,0,5,
2019,Champignons hallucinogènes (Psilocybes),61,157,
2019,Autres hallucinogènes,17,64,
2019,GHB/GBL,48,112,
2019,Médicament en vente libre cont. subst. stupéf.,13,37,
2019,Médicament sur ordonnance cont. subst. stupéf.,385,1262,
2019,Mat. prem/prod. avec effet prés. sembl. à stup.,15,19,
2019,Substances de coupage,6,46,
2019,Autre substance stupéfiante,79,175,
2019,Plusieurs 1),8327,_,
2019,Inconnu,25,55,
2019,Sans indication,7,7,
